Title,Number,Labels,State,Comment_count,Year_Month,Date_created,Date_closed,Duration_reported_closed,Distinct_Commenter,Distinct_commenter_count,First_comment_date,Last_comment_date,Duration_first_last_comment,Duration_reported_first_comment,Duration_reported_last_comment,First_commit_date,Last_commit_date,Duration_reported_first_commit,Duration_reported_last_commit,Duration_first_last_commit,First_comment_date_commit,Last_comment_date_commit,Duration_first_last_comment_commit,Commit_mentioned,Commit_sha,Count_all_commits,Committers
Flax increases jit dispatch cost by x4 compared to pure jax: help? ,5485,performance,closed,7,2021-01-21,2021-01-21,2021-09-07,229,"froystig,PhilipVinc,hawkinsp,levskaya",4,2021-01-21,2021-09-07,229,1,229,2021-03-09,2023-07-16,47,906,859,,,0,5,"6515b5f676916ece50a1f029b8c1557c8a93515b, 28b3c46b9bfb50071ed5805fa68b039b51059317, 1246b6fc737f74ff00e8d681fb348c21b0c3626e, bdacc32bda0b5d023a8f70409c7529f692110a53, 603eeb19017d50526a85e9c6c49f76330254bd47",5,3
"revive the leak checker, as a debug mode",5492,"cla: yes, pull ready",closed,1,2021-01-22,2021-01-22,2021-01-23,1,mattjj,1,2021-01-22,2021-01-22,1,1,1,2020-10-14,2023-07-19,100,908,1008,,,0,8,"f6a5c0a980d5ade8d95ae9b8be5be5f83131bf48, 9787894d94556c4a3b5c878c00be2c178328fa88, b0f5ef4bda3840fb230ba5af0c09c5fb9fc9a8ac, 58522fd8a10ece5c58d90700e3eb9a0d7798f212, 4a17c78605e7fc69a69a999e2f6298db79d3837a, 33dbf0ea1c7d53b3fca5ce11ff88c07cadb3e57f, 3f2bff5182ba329f0216acbaef626b08228be786, f97dca79a2aa44d41ed5c03f5e09cac1fbe74eae",8,4
loops Scope is exponentially slower in 0.2.8 than 0.1.55,5496,,closed,8,2021-01-22,2021-01-22,2022-08-13,568,"mattjj,zachary-jablons-okcupid,hawkinsp",3,2021-01-23,2022-08-14,568,1,569,2020-11-04,2023-07-20,79,909,988,,,0,7,"4b25b77718e8a5be5b1705c22e32ea93229fe04f, 40ee7f2ea8ecdfaa45b6f5f1fbef9b51cbdd9c3f, 8abe03daed429d2c75b5f776ad66dbf3c53f273d, db8716701f83a38e7884288e45347600301b88f0, fa5915b34df5de87ed6e388d0f52796226adced1, 08366b21a15e6c54bd4d4bfc344b59413aad81ab, fe30d3fd4bbf92b890c97a75c4c47f4275ab77d1",7,3
backend_compile appears to leak memory,5531,duplicate,closed,5,2021-01-27,2021-01-27,2021-01-28,1,"jekbradbury,DiffeoInvariant,hawkinsp",3,2021-01-28,2021-02-04,7,1,8,2020-03-22,2023-08-10,311,925,1236,,,0,6,"a669eda6ce9ea52f0516536effdb295ee9abf9fb, a4e8df76ab13adaf4dadedef9694c77d60e72410, 38453150724ffa5b2e9665546ea992142944ef04, f498442daa927aeb5bdbf840bc28cc527f47d7f1, 97b96bbd4b211fb904535c577b4d2c706dadf511, 74bcd65bbd6b46f7f83c6910bd428a7be92c1871",6,5
Bug in shape checking rule when calling jax.lax.reduce_window,5536,better_errors,closed,1,2021-01-27,2021-01-27,2021-01-29,2,skye,1,2021-01-29,2021-01-29,1,2,2,2021-01-28,2023-08-04,1,919,918,,,0,8,"997e6efa9cc184510d81d6d42c1e4e4826fe77f4, a682a3791f3e55a9049689951ac5134895dc4dd4, 480efcf0ee13e8c471c0b3e42a582028fcdccd3c, 4add3b8cee9eceef6ff3694d756f238017b13fb6, 4750ce7c87781caaf9aa6735be5ef08f13774cca, 9e692774020a6ff0ccb686096e7b93f2bdcebf09, df4e0cbb7360f366a6fde80e03631be063b21a0a, 467adf35a615d3fd5635cd233e0a116bf65cc984",8,5
experimental.enable_x64 fails for random.uniform,5532,bug,closed,3,2021-01-27,2021-01-27,2021-03-01,33,"jakevdp,jblespiau",2,2021-01-27,2021-01-27,1,1,1,2019-04-30,2023-08-10,638,925,1563,,,0,10,"b4d548828618584426f0c47b78b3b81a5a606505, 5d11d101c60837fbf14c52f37d477928f853abdc, b90df4bf4d6e16f91acd937a9b25860c22e267e1, ecbd719c41686dd19c4be15d0fe33deb7ab0638c, 83fabebdcb32d733de618af14f49649af6bcf84a, 0bc3136fbcad5a01f604ac96f428db49e692d558, a6a8f4850c6dcdb4278422c0e51eddc3d4768970, 7708cf5c21e3296d0a607125f8686d5a9712c1ca, a0c1265bbae2c3ec644d6181f23264b4794e9eac, 5d8f5c20fa4ec95d7e4823bc9b1588486960aeca",10,4
Failed precondition error when trying to compile hlo,5544,,closed,9,2021-01-28,2021-01-28,2021-02-23,26,"skye,maxstupp",2,2021-01-28,2021-02-23,26,1,26,2021-03-29,2023-08-07,60,921,861,,,0,6,"2022141b13ea1f7589394b4fc43209fadeefec1c, e5e343c13e1df39adc194b51267bc96d7ce1218b, 553924f774618ea9139a2c49da00e780a54736bd, bd50474991d499eac4f9c21599786358e61594af, 5fcd9265b1e20c41d684659af3d52c41f25ae2f3, a80d952680f7c3320a927fa552e5bd90eca1e65d",6,3
DOC: fix some minor formatting issues,5545,"cla: yes, pull ready",closed,0,2021-01-28,2021-01-28,2021-01-28,1,,0,,,0,0,0,2021-01-28,2023-08-10,1,924,924,,,0,14,"3d5d0737662528bb628f2b1a3cafae16083b0c09, fc7775e1d1f5b462ce556e4f46fe9fc00f89a0f7, 777480c257ee1d2d4a859e1c45259b2c25620c39, b3a36efafa459998e7a5029c3c1064077020cb5d, e4d2e20b54c6f18b8e4e7a317ad61c7345539686, 2fa0bb0d32fcd930e2e1c72331ef49b0c37f6cdf, e21945661fc1ef8a6287bb7166a38f11f6882745, 915241413bf8d65a282894c3693fbcb9d78e9369, 079ecfbf2076f22f636f2e113c7139e396135573, a600020346df1e55accb5d1453a81a8c19c8d0fc, 9d67fb7e989ad04faddb235efb5ad81dccdfeb2d, bf8e550ad11fdc1e062325095da2190f58599e15, 22285e69fb675b07812c823d694ad0de1aa1ea00, 7012a05497faf4d33c967bee3cebc83588234e63",14,5
Improve error message when a reduction function returns an invalid re…,5547,"cla: yes, pull ready",closed,0,2021-01-29,2021-01-29,2021-01-29,1,,0,,,0,0,0,2021-01-29,2023-08-08,1,921,921,,,0,8,"8719609bd70dc2035140459736cf67f75fab38d8, e66a56564a80dc3d5d7965cba724630c792ceeb1, dc23e837fcd064d9ef1bb84908187361fa340fe5, 7df0bbbce895f2b7f5ab2d168c2dcc5b9ac4f5dd, d58ba616dbdd87f82681141b95e196d2a2dbea97, f88a1efbb400e4c22e704efe72082622a68a44cd, d17addea0b469d779b3728dd4b6df3a6cdc06065, dec2366c165f4a9b115f8f817bc408f2fdb47e96",8,3
JAX GPU Memory Allocation Settings ignored on Google Colab,5555,,closed,3,2021-01-29,2021-01-29,2021-01-29,1,"skye,giacomofrisoni",2,2021-01-29,2021-01-29,1,1,1,2021-03-29,2023-08-10,59,923,864,,,0,6,"993a025fb94d744d2439caa11d289ced15109d0d, d91343c971e0eb167ec8c8ea21925ed7c4d081cd, cdff8a1e04f32c09c9098a5b1c1df9201fcfe0eb, ba422f2a36d2ea4cb7025fffb35cb936f761d864, cf026ce7455352bd6435d84787fd19ff88563cba, 0e80d959c82e769b2e5ccfd91a4018153ba11d90",6,3
